mode,task_id,status,ts,cs,j,ap_t,aip,returncode,stderr_tail
baseline,32,ok,66.6667,-1.0,66.6667,67.0833,67.3242,0,
baseline,33,ok,66.6667,-1.0,66.6667,67.0707,67.3242,0,
baseline,34,ok,73.3333,-1.0,73.3333,67.2549,67.3242,0,
baseline,35,ok,66.6667,-1.0,66.6667,67.2381,67.3242,0,
baseline,36,ok,66.6667,-1.0,66.6667,67.2222,67.3242,0,
baseline,37,ok,73.3333,-1.0,73.3333,67.3874,67.3242,0,
baseline,38,ok,66.6667,-1.0,66.6667,67.3684,67.3242,0,
baseline,39,ok,66.6667,-1.0,66.6667,67.3504,67.3242,0,
baseline,40,ok,73.3333,-1.0,73.3333,67.5,67.3242,0,
baseline,41,ok,66.6667,-1.0,66.6667,67.4797,67.3242,0,
baseline,42,ok,66.6667,-1.0,66.6667,67.4603,67.3242,0,
baseline,43,ok,66.6667,-1.0,66.6667,67.4419,67.3242,0,
baseline,44,ok,66.6667,-1.0,66.6667,67.4242,67.3242,0,
baseline,45,ok,66.6667,-1.0,66.6667,67.4074,67.3242,0,
baseline,46,ok,73.3333,-1.0,73.3333,67.5362,67.3242,0,
baseline,47,ok,66.6667,-1.0,66.6667,67.5177,67.3242,0,
baseline,48,ok,66.6667,-1.0,66.6667,67.5,67.3242,0,
baseline,49,ok,66.6667,-1.0,66.6667,67.483,67.3242,0,
baseline,50,ok,66.6667,-1.0,66.6667,67.4667,67.3242,0,
llmamem,1,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,2,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,3,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,4,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,5,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,6,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,7,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,8,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,9,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,10,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,11,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,12,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,13,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,14,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,15,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,16,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,17,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,18,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,19,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,20,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,21,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,22,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,23,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,24,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
llmamem,25,ok,66.6667,-1.0,66.6667,66.6667,66.7522,0,
